0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Cucumber,16,±,1.6,,Cucumber16,1,25,8,20,6,1,0.7,,,100,75,50,25,,,32,24,16,8,,,80,60,40,20,,,24,18,12,6,,,3,2,1,,,,2.1,1.4,0.7,,,,0,0,0,,,,0,0,0,,,,0
Kangkong,40,±,4,,Kangkong40,1,30,10,15,5,,,,,120,90,60,30,,,40,30,20,10,,,60,45,30,15,,,20,15,10,5,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
Indian Spinach,40,±,4,,Indian Spinach40,1,35,10,20,5,,,,,140,105,70,35,,,40,30,20,10,,,80,60,40,20,,,20,15,10,5,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
Spinach,40,±,4,,Spinach40,1,15,5,5,4,,,,,60,45,30,15,,,20,15,10,5,,,20,15,10,5,,,16,12,8,4,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
Amaranthus,30,±,3,,Amaranthus30,1,30,9,15,4,,,,,120,90,60,30,,,36,27,18,9,,,60,45,30,15,,,16,12,8,4,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
Red Amaranthus,14,±,1.4,,Red Amaranthus14,1,25,6,10,3,,,,,100,75,50,25,,,24,18,12,6,,,40,30,20,10,,,12,9,6,3,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
Onion,16,±,1.6,,Onion16,1,35,15,30,10,1.5,0.7,,,140,105,70,35,,,60,45,30,15,,,120,90,60,30,,,40,30,20,10,,,4.5,3,1.5,,,,2.1,1.4,0.7,,,,0,0,0,,,,0,0,0,,,,0
Summer Onion,12,±,1.2,,Summer Onion12,1,25,10,20,8,1,0.5,,,100,75,50,25,,,40,30,20,10,,,80,60,40,20,,,32,24,16,8,,,3,2,1,,,,1.5,1,0.5,,,,0,0,0,,,,0,0,0,,,,0
Onion Seed,0.8,±,0.08,,Onion Seed0.8,1,40,15,35,8,1.5,0.7,,,160,120,80,40,,,60,45,30,15,,,140,105,70,35,,,32,24,16,8,,,4.5,3,1.5,,,,2.1,1.4,0.7,,,,0,0,0,,,,0,0,0,,,,0
Garlic,15,±,1.5,,Garlic15,1,38,16,30,10,1,1,,,152,114,76,38,,,64,48,32,16,,,120,90,60,30,,,40,30,20,10,,,4,3,2,1,,,4,3,2,1,,,0,0,0,,,,0,0,0,,,,0
Ginger,15,±,1.5,,Ginger15,1,45,15,40,5,1.5,0.5,,,180,135,90,45,,,60,45,30,15,,,160,120,80,40,,,20,15,10,5,,,4.5,3,1.5,,,,1.5,1,0.5,,,,0,0,0,,,,0,0,0,,,,0
Tumeric,30,±,3,,Tumeric30,1,35,10,40,5,1.5,0.7,,,140,105,70,35,,,40,30,20,10,,,160,120,80,40,,,20,15,10,5,,,4.5,3,1.5,,,,2.1,1.4,0.7,,,,0,0,0,,,,0,0,0,,,,0
Chilli,2,±,0.2,,Chilli2,1,32,15,25,5,0.5,0.7,,,128,96,64,32,,,60,45,30,15,,,100,75,50,25,,,20,15,10,5,,,2,1.5,1,0.5,,,2.1,1.4,0.7,,,,0,0,0,,,,0,0,0,,,,0
Coriander,2,±,0.2,,Coriander2,1,25,10,16,5,1,0.7,,,100,75,50,25,,,40,30,20,10,,,64,48,32,16,,,20,15,10,5,,,3,2,1,,,,2.1,1.4,0.7,,,,0,0,0,,,,0,0,0,,,,0
Black Cumin,1,±,0.1,,Black Cumin1,1,20,8,15,5,1,0.7,,,80,60,40,20,,,32,24,16,8,,,60,45,30,15,,,20,15,10,5,,,3,2,1,,,,2.1,1.4,0.7,,,,0,0,0,,,,0,0,0,,,,0
Fenugreek,1.7,±,0.17,,Fenugreek1.7,1,25,10,20,5,1,0.7,,,100,75,50,25,,,40,30,20,10,,,80,60,40,20,,,20,15,10,5,,,3,2,1,,,,2.1,1.4,0.7,,,,0,0,0,,,,0,0,0,,,,0
Sugarcane,100,±,10,,Sugarcane100,1,60,20,45,15,2.5,,,10,240,180,120,60,,,80,60,40,20,,,180,135,90,45,,,60,45,30,15,,,7.5,5,2.5,,,,0,0,0,,,,0,0,0,,,,40,30,20,10,,,0
Tobacco,2.5,±,0.25,,Tobacco2.5,1,20,11,27,4,0.6,,,,80,60,40,20,,,44,33,22,11,,,108,81,54,27,,,16,12,8,4,,,1.8,1.2,0.6,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
Betel Leaf,35,±,3.5,,Betel Leaf35,1,20,8,12,4,1,,,,80,60,40,20,,,32,24,16,8,,,48,36,24,12,,,16,12,8,4,,,3,2,1,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
Napier Grass,370,±,37,,Napier Grass370,1,45,12,15,5,2,,,,180,135,90,45,,,48,36,24,12,,,60,45,30,15,,,20,15,10,5,,,6,4,2,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
Para Grass,120,±,12,,Para Grass120,1,40,10,11,5,2,,,,160,120,80,40,,,40,30,20,10,,,44,33,22,11,,,20,15,10,5,,,6,4,2,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
German Grass,135,±,13.5,,German Grass135,1,35,10,11,5,2,,,,140,105,70,35,,,40,30,20,10,,,44,33,22,11,,,20,15,10,5,,,6,4,2,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
Dhal Grass,110,±,11,,Dhal Grass110,1,50,10,11,5,2,,,,200,150,100,50,,,40,30,20,10,,,44,33,22,11,,,20,15,10,5,,,6,4,2,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
Guinea Grass,120,±,12,,Guinea Grass120,1,45,10,12,5,2,,,,180,135,90,45,,,40,30,20,10,,,48,36,24,12,,,20,15,10,5,,,6,4,2,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
Jumbo,120,±,12,,Jumbo120,1,40,10,11,5,2,,,,160,120,80,40,,,40,30,20,10,,,44,33,22,11,,,20,15,10,5,,,6,4,2,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
Zamboo Grass,18,±,1.8,,Zamboo Grass18,1,15,3,4,5,2,,,,60,45,30,15,,,12,9,6,3,,,16,12,8,4,,,20,15,10,5,,,6,4,2,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
Pineapple,30,±,3,,Pineapple30,1,60,25,60,7,1.5,,,,240,180,120,60,,,100,75,50,25,,,240,180,120,60,,,28,21,14,7,,,4.5,3,1.5,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0
Water Melon,60,±,6,,Water Melon60,1,35,12,27,5,1,0.7,,,140,105,70,35,,,48,36,24,12,,,108,81,54,27,,,20,15,10,5,,,3,2,1,,,,2.1,1.4,0.7,,,,0,0,0,,,,0,0,0,,,,0
Marigold,10,±,1,,Marigold10,1,30,13,30,5,2,,,,120,90,60,30,,,52,39,26,13,,,120,90,60,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Marigold,15,±,1.5,,Marigold15,2,45,20,40,6,3,,,,180,135,90,45,,,80,60,40,20,,,160,120,80,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Rose,800000,±,80000,,Rose800000,1,35,25,35,5,2,,,,140,105,70,35,,,100,75,50,25,,,140,105,70,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Tuberose,125000,±,12500,,Tuberose125000,1,75,23,44,5,2,1,,,300,225,150,75,,,92,69,46,23,,,176,132,88,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Gladiolus,200000,±,20000,,Gladiolus200000,1,60,22,45,8,2,0.7,,,240,180,120,60,,,88,66,44,22,,,180,135,90,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Zinnia,300000,±,30000,,Zinnia300000,1,25,8,15,5,2,,,,100,75,50,25,,,32,24,16,8,,,60,45,30,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Chrysanthemum,3000000,±,300000,,Chrysanthemum3000000,1,50,25,40,5,2,1,,,200,150,100,50,,,100,75,50,25,,,160,120,80,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Chrysanthemum,4000000,±,400000,,Chrysanthemum4000000,2,45,22,40,5,2,1,,,180,135,90,45,,,88,66,44,22,,,160,120,80,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Orchid,18000,±,1800,,Orchid18000,1,22,10,20,5,2,1,,,88,66,44,22,,,40,30,20,10,,,80,60,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Gerbera,900000,±,90000,,Gerbera900000,1,50,25,40,8,2,1,,,200,150,100,50,,,100,75,50,25,,,160,120,80,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Suger Beet,80,±,8,,Suger Beet80,1,50,15,40,5,2,,,5,200,150,100,50,,,60,45,30,15,,,160,120,80,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
